"Path ID","Unique ID","Rule ID","Left","Right"
"1","TRS_0_0_0_0","RR-02-0fa988710f61cc6c-16-F","1.MNXM13:1.MNXM192:1.MNXM960","1.TARGET_0000000001"
"2","TRS_0_0_1_0","RR-02-91ec6117017f6b38-16-F","1.MNXM1104266:1.MNXM353","1.TARGET_0000000001"
"3","TRS_0_0_2_0","RR-02-b5d69cb82a0cbef6-16-F","1.MNXM1275:1.MNXM26","1.TARGET_0000000001"
"4","TRS_0_0_3_0","RR-02-9cb19d5f7d0baf87-16-F","1.MNXM123:1.MNXM26","1.TARGET_0000000001"
"5","TRS_0_0_4_0","RR-02-ed6ef7dca86a88fd-16-F","1.MNXM26:1.MNXM319","1.TARGET_0000000001"
"6","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"6","TRS_0_1_0_0","RR-02-9e27aa1ef54eeeaf-16-F","1.CMPD_0000000014:1.MNXM159:1.MNXM729302","1.CMPD_0000000011"
"6","TRS_0_2_29_0","RR-02-95f6aa357bb05915-16-F","1.MNXM418:1.MNXM741485","1.CMPD_0000000014"
"7","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"7","TRS_0_1_0_0","RR-02-9e27aa1ef54eeeaf-16-F","1.CMPD_0000000014:1.MNXM159:1.MNXM729302","1.CMPD_0000000011"
"7","TRS_0_2_30_0","RR-02-5d522d4df59d9428-16-F,RR-02-d61f39fd3b716ecf-16-F","1.MNXM1105731:1.MNXM741485","1.CMPD_0000000014"
"8","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"8","TRS_0_1_4_0","RR-02-4e08db20449ba8f5-16-F,RR-02-4ff987f02f5b95b5-16-F","1.CMPD_0000000014:1.MNXM1334","1.CMPD_0000000011"
"8","TRS_0_2_29_0","RR-02-95f6aa357bb05915-16-F","1.MNXM418:1.MNXM741485","1.CMPD_0000000014"
"9","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"9","TRS_0_1_4_0","RR-02-4e08db20449ba8f5-16-F,RR-02-4ff987f02f5b95b5-16-F","1.CMPD_0000000014:1.MNXM1334","1.CMPD_0000000011"
"9","TRS_0_2_30_0","RR-02-5d522d4df59d9428-16-F,RR-02-d61f39fd3b716ecf-16-F","1.MNXM1105731:1.MNXM741485","1.CMPD_0000000014"
"10","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"10","TRS_0_1_6_0","RR-02-5fba12e4ae407331-16-F","1.CMPD_0000000014:1.MNXM820","1.CMPD_0000000011"
"10","TRS_0_2_29_0","RR-02-95f6aa357bb05915-16-F","1.MNXM418:1.MNXM741485","1.CMPD_0000000014"
"11","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"11","TRS_0_1_6_0","RR-02-5fba12e4ae407331-16-F","1.CMPD_0000000014:1.MNXM820","1.CMPD_0000000011"
"11","TRS_0_2_30_0","RR-02-5d522d4df59d9428-16-F,RR-02-d61f39fd3b716ecf-16-F","1.MNXM1105731:1.MNXM741485","1.CMPD_0000000014"
"12","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"12","TRS_0_1_0_0","RR-02-9e27aa1ef54eeeaf-16-F","1.CMPD_0000000014:1.MNXM159:1.MNXM729302","1.CMPD_0000000011"
"12","TRS_0_2_27_0","RR-02-f1db99cbbf9d18e9-16-F","1.CMPD_0000000031:1.MNXM1","1.CMPD_0000000014"
"12","TRS_0_3_65_0","RR-02-9015d35962c0f877-16-F","1.CMPD_0000000039:1.MNXM23:1.MNXM729302","1.CMPD_0000000031"
"12","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"13","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"13","TRS_0_1_0_0","RR-02-9e27aa1ef54eeeaf-16-F","1.CMPD_0000000014:1.MNXM159:1.MNXM729302","1.CMPD_0000000011"
"13","TRS_0_2_27_0","RR-02-f1db99cbbf9d18e9-16-F","1.CMPD_0000000031:1.MNXM1","1.CMPD_0000000014"
"13","TRS_0_3_65_0","RR-02-9015d35962c0f877-16-F","1.CMPD_0000000039:1.MNXM23:1.MNXM729302","1.CMPD_0000000031"
"13","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"14","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"14","TRS_0_1_4_0","RR-02-4e08db20449ba8f5-16-F,RR-02-4ff987f02f5b95b5-16-F","1.CMPD_0000000014:1.MNXM1334","1.CMPD_0000000011"
"14","TRS_0_2_27_0","RR-02-f1db99cbbf9d18e9-16-F","1.CMPD_0000000031:1.MNXM1","1.CMPD_0000000014"
"14","TRS_0_3_65_0","RR-02-9015d35962c0f877-16-F","1.CMPD_0000000039:1.MNXM23:1.MNXM729302","1.CMPD_0000000031"
"14","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"15","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"15","TRS_0_1_4_0","RR-02-4e08db20449ba8f5-16-F,RR-02-4ff987f02f5b95b5-16-F","1.CMPD_0000000014:1.MNXM1334","1.CMPD_0000000011"
"15","TRS_0_2_27_0","RR-02-f1db99cbbf9d18e9-16-F","1.CMPD_0000000031:1.MNXM1","1.CMPD_0000000014"
"15","TRS_0_3_65_0","RR-02-9015d35962c0f877-16-F","1.CMPD_0000000039:1.MNXM23:1.MNXM729302","1.CMPD_0000000031"
"15","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"16","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"16","TRS_0_1_6_0","RR-02-5fba12e4ae407331-16-F","1.CMPD_0000000014:1.MNXM820","1.CMPD_0000000011"
"16","TRS_0_2_27_0","RR-02-f1db99cbbf9d18e9-16-F","1.CMPD_0000000031:1.MNXM1","1.CMPD_0000000014"
"16","TRS_0_3_65_0","RR-02-9015d35962c0f877-16-F","1.CMPD_0000000039:1.MNXM23:1.MNXM729302","1.CMPD_0000000031"
"16","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"17","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"17","TRS_0_1_6_0","RR-02-5fba12e4ae407331-16-F","1.CMPD_0000000014:1.MNXM820","1.CMPD_0000000011"
"17","TRS_0_2_27_0","RR-02-f1db99cbbf9d18e9-16-F","1.CMPD_0000000031:1.MNXM1","1.CMPD_0000000014"
"17","TRS_0_3_65_0","RR-02-9015d35962c0f877-16-F","1.CMPD_0000000039:1.MNXM23:1.MNXM729302","1.CMPD_0000000031"
"17","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"18","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"18","TRS_0_1_1_0","RR-02-ee205435d5fa5f08-16-F","1.CMPD_0000000016:1.MNXM23:1.MNXM729302","1.CMPD_0000000011"
"18","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"18","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"18","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"19","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"19","TRS_0_1_1_0","RR-02-ee205435d5fa5f08-16-F","1.CMPD_0000000016:1.MNXM23:1.MNXM729302","1.CMPD_0000000011"
"19","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"19","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"19","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"20","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"20","TRS_0_1_5_0","RR-02-bcc50624f087fa23-16-F","1.CMPD_0000000016:1.MNXM694","1.CMPD_0000000011"
"20","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"20","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"20","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"21","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"21","TRS_0_1_5_0","RR-02-bcc50624f087fa23-16-F","1.CMPD_0000000016:1.MNXM694","1.CMPD_0000000011"
"21","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"21","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"21","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"22","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"22","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"22","TRS_0_2_0_0","RR-02-3f38de5a2a0b77f2-16-F","1.MNXM23:1.MNXM729302","1.CMPD_0000000017"
"22","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"22","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"22","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"23","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"23","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"23","TRS_0_2_0_0","RR-02-3f38de5a2a0b77f2-16-F","1.MNXM23:1.MNXM729302","1.CMPD_0000000017"
"23","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"23","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"23","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"24","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"24","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"24","TRS_0_2_13_0","RR-02-a077e8fd4bcd9530-16-F","1.MNXM319","1.CMPD_0000000017"
"24","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"24","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"24","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"25","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"25","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"25","TRS_0_2_13_0","RR-02-a077e8fd4bcd9530-16-F","1.MNXM319","1.CMPD_0000000017"
"25","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"25","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"25","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"26","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"26","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"26","TRS_0_2_14_0","RR-02-fedaa5105ee8d246-16-F","1.MNXM927","1.CMPD_0000000017"
"26","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"26","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"26","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"27","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"27","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"27","TRS_0_2_14_0","RR-02-fedaa5105ee8d246-16-F","1.MNXM927","1.CMPD_0000000017"
"27","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"27","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"27","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"28","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"28","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"28","TRS_0_2_15_0","RR-02-6f706f932a7be63d-16-F","1.MNXM2112","1.CMPD_0000000017"
"28","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"28","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"28","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"29","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"29","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"29","TRS_0_2_15_0","RR-02-6f706f932a7be63d-16-F","1.MNXM2112","1.CMPD_0000000017"
"29","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"29","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"29","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"30","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"30","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"30","TRS_0_2_19_0","RR-02-3efe0d21e8950861-16-F","1.MNXM76","1.CMPD_0000000017"
"30","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"30","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"30","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"31","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"31","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"31","TRS_0_2_19_0","RR-02-3efe0d21e8950861-16-F","1.MNXM76","1.CMPD_0000000017"
"31","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"31","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"31","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"32","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"32","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"32","TRS_0_2_20_0","RR-02-00644e6ecc5dbcdc-16-F","1.MNXM741553","1.CMPD_0000000017"
"32","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"32","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"32","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"33","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"33","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"33","TRS_0_2_20_0","RR-02-00644e6ecc5dbcdc-16-F","1.MNXM741553","1.CMPD_0000000017"
"33","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"33","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"33","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"34","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"34","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"34","TRS_0_2_4_0","RR-02-2273ef0ef17e3e4e-16-F","1.MNXM694","1.CMPD_0000000017"
"34","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"34","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"34","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"35","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"35","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"35","TRS_0_2_4_0","RR-02-2273ef0ef17e3e4e-16-F","1.MNXM694","1.CMPD_0000000017"
"35","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"35","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"35","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"36","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"36","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"36","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"36","TRS_0_2_5_0","RR-02-60d5d3c666b1a383-16-F,RR-02-94d0a6339107509a-16-F","1.CMPD_0000000036","1.CMPD_0000000017"
"36","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"36","TRS_0_3_45_0","RR-02-0953a7e344b5b961-16-F","1.MNXM13:1.MNXM282","1.CMPD_0000000036"
"36","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
